1,1,1.5514
1,2,1.2325
1,3,1.1162
1,4,0.9754
1,5,0.9079
1,6,0.8610
1,7,0.8359
1,8,0.8233
1,9,0.7766
1,10,0.7523
1,11,0.7373
1,12,0.7279
1,13,0.7218
1,14,0.7236
1,15,0.7157
1,16,0.7111
1,17,0.7032
1,18,0.6966
1,19,0.7023
2,1,0.6864
2,2,0.6846
2,3,0.6806
2,4,0.6789
2,5,0.6751
2,6,0.6701
2,7,0.6664
2,8,0.6630
2,9,0.6545
2,10,0.6528
2,11,0.6434
2,12,0.6379
2,13,0.6318
2,14,0.6326
2,15,0.6129
2,16,0.6046
2,17,0.5974
2,18,0.5893
2,19,0.5994
3,1,0.5672
3,2,0.5500
3,3,0.5330
3,4,0.5230
3,5,0.5100
3,6,0.5004
3,7,0.4767
3,8,0.4520
3,9,0.4488
3,10,0.4301
3,11,0.4246
3,12,0.4092
3,13,0.4001
3,14,0.3738
3,15,0.3579
3,16,0.3124
3,17,0.3120
3,18,0.3219
3,19,0.2300
4,1,0.2727
4,2,0.2386
4,3,0.2778
4,4,0.2345
4,5,0.2300
4,6,0.2530
4,7,0.2431
4,8,0.2116
4,9,0.2083
4,10,0.2003
4,11,0.1789
4,12,0.2149
4,13,0.2182
4,14,0.1934
4,15,0.1688
4,16,0.1896
4,17,0.1876
4,18,0.1776
4,19,0.2072
5,1,0.1565
5,2,0.2712
5,3,0.2039
5,4,0.1506
5,5,0.1903
5,6,0.1963
5,7,0.1863
5,8,0.2031
5,9,0.1819
5,10,0.1803
5,11,0.1931
5,12,0.1673
5,13,0.1422
5,14,0.1707
5,15,0.1556
5,16,0.1688
5,17,0.1524
5,18,0.1534
5,19,0.1724
6,1,0.1650
6,2,0.1524
6,3,0.1364
6,4,0.1453
6,5,0.1338
6,6,0.1469
6,7,0.1235
6,8,0.1654
6,9,0.1231
6,10,0.1215
6,11,0.1615
6,12,0.1634
6,13,0.1446
6,14,0.1332
6,15,0.1545
6,16,0.1301
6,17,0.1530
6,18,0.1527
6,19,0.1413
7,1,0.1195
7,2,0.1384
7,3,0.1395
7,4,0.1140
7,5,0.1385
7,6,0.1076
7,7,0.1262
7,8,0.1354
7,9,0.1121
7,10,0.1422
7,11,0.1418
7,12,0.1102
7,13,0.1398
7,14,0.1094
7,15,0.1258
7,16,0.1204
7,17,0.1555
7,18,0.1293
7,19,0.1446
8,1,0.1263
8,2,0.1069
8,3,0.1156
8,4,0.1128
8,5,0.1422
8,6,0.1255
8,7,0.1333
8,8,0.1049
8,9,0.0940
8,10,0.1146
8,11,0.1341
8,12,0.1028
8,13,0.1069
8,14,0.1010
8,15,0.1158
8,16,0.1242
8,17,0.0991
8,18,0.1457
8,19,0.0493
9,1,0.1152
9,2,0.1048
9,3,0.1252
9,4,0.1093
9,5,0.1150
9,6,0.1250
9,7,0.0963
9,8,0.1080
9,9,0.1015
9,10,0.0931
9,11,0.0965
9,12,0.0952
9,13,0.0949
9,14,0.0826
9,15,0.1172
9,16,0.0928
9,17,0.1114
9,18,0.0978
9,19,0.0541
10,1,0.0915
10,2,0.0964
10,3,0.1015
10,4,0.0938
10,5,0.1129
10,6,0.1063
10,7,0.1092
10,8,0.0812
10,9,0.0901
10,10,0.0936
10,11,0.0853
10,12,0.1044
10,13,0.0840
10,14,0.1091
10,15,0.0985
10,16,0.0821
10,17,0.0851
10,18,0.0968
10,19,0.0828
11,1,0.0922
